out_data = 320b090e; glo_cnt = 00020005
out_data = 058ac4d9; glo_cnt = 0002004d
out_data = cac9e310; glo_cnt = 0002004f
out_data = e286e9b3; glo_cnt = 00020059
out_data = fcba26fc; glo_cnt = 00020063
out_data = dd60c424; glo_cnt = 0002006f
out_data = 9f4ef28d; glo_cnt = 0002008f
out_data = d6c10218; glo_cnt = 00020091
out_data = 28a83735; glo_cnt = 00020092
out_data = e549c2ff; glo_cnt = 000200a5
out_data = 6395547c; glo_cnt = 000200b1
out_data = 20717cc1; glo_cnt = 000200d1
out_data = a77f1ffc; glo_cnt = 000200e7
out_data = 6ed6e096; glo_cnt = 000200fd
out_data = 3e93ce0b; glo_cnt = 00020109
out_data = 821da8a5; glo_cnt = 0002010b
out_data = da0a4d45; glo_cnt = 0002010c
out_data = 5c5c38a4; glo_cnt = 00020113
out_data = cae02c38; glo_cnt = 00020114
out_data = cc9074ec; glo_cnt = 00020115
out_data = c29470d8; glo_cnt = 00020129
out_data = 2f1231d1; glo_cnt = 00020155
out_data = d09b5b38; glo_cnt = 00020177
out_data = 16d39a9c; glo_cnt = 00020181
out_data = 14cdc2c3; glo_cnt = 00020197
out_data = 2f6d34d5; glo_cnt = 000201a3
out_data = 3bade26a; glo_cnt = 000201be
out_data = f69c87b3; glo_cnt = 000201c3
out_data = d3f3475c; glo_cnt = 000201d9
out_data = a778ae49; glo_cnt = 000201da
out_data = 80202ee6; glo_cnt = 00020205
out_data = 381c058d; glo_cnt = 0002021b
out_data = 18bf62df; glo_cnt = 00020227
out_data = 5513b45d; glo_cnt = 00020231
out_data = 19d8d159; glo_cnt = 0002025d
out_data = 4985255f; glo_cnt = 0002025f
out_data = 8a13333a; glo_cnt = 00020273
out_data = 8170bb9f; glo_cnt = 0002027a
out_data = 4bfa61b1; glo_cnt = 00020289
out_data = 29eb382a; glo_cnt = 00020298
out_data = d6da31c2; glo_cnt = 000202b5
out_data = 4ac4e7f2; glo_cnt = 000202e1
out_data = 06690a4c; glo_cnt = 000202e3
out_data = 88c27b47; glo_cnt = 000202f7
out_data = ef451287; glo_cnt = 00020303
out_data = ac10fcc4; glo_cnt = 00020305
out_data = d6bb3cc8; glo_cnt = 00020319
out_data = 5c8649bc; glo_cnt = 0002031e
out_data = 95104cd5; glo_cnt = 00020323
out_data = 8ebbb369; glo_cnt = 00020339
out_data = 3e0caffa; glo_cnt = 00020345
out_data = 2b5882e0; glo_cnt = 00020371
out_data = 3d438965; glo_cnt = 00020373
out_data = 191bd974; glo_cnt = 00020387
out_data = 3c80c7b3; glo_cnt = 00020389
out_data = 19827e1f; glo_cnt = 0002038a
out_data = e0b2035e; glo_cnt = 0002038b
out_data = f55dedbf; glo_cnt = 00020395
out_data = 6f642c81; glo_cnt = 0002039d
out_data = 4dc1ca96; glo_cnt = 000203a7
out_data = 3cdb1fac; glo_cnt = 000203b3
out_data = 6a1446ac; glo_cnt = 000203bd
out_data = 8091e223; glo_cnt = 000203e9
out_data = a5efc2f7; glo_cnt = 000203ff
out_data = 2915adc2; glo_cnt = 00020401
out_data = 3769b1cd; glo_cnt = 00020403
out_data = afea87f6; glo_cnt = 00020409
out_data = 14f8e6a4; glo_cnt = 00020415
out_data = d6161d8c; glo_cnt = 00020423
out_data = c4e695a4; glo_cnt = 0002042b
out_data = 98f2c17b; glo_cnt = 0002042d
out_data = a2d854b5; glo_cnt = 0002046d
out_data = 34c16b92; glo_cnt = 00020483
out_data = d23b3268; glo_cnt = 00020485
out_data = 3eeaf584; glo_cnt = 000204af
out_data = fe0836a5; glo_cnt = 000204b1
out_data = b2cb1465; glo_cnt = 000204c4
out_data = 6f338ad0; glo_cnt = 000204c5
out_data = d5d28c4d; glo_cnt = 000204c8
out_data = 923bc62d; glo_cnt = 000204d1
out_data = 0d9ff15d; glo_cnt = 000204db
out_data = 650bdb28; glo_cnt = 00020507
out_data = 969dbcf3; glo_cnt = 00020513
out_data = 4b8ae9a3; glo_cnt = 0002051d
out_data = 824fadcc; glo_cnt = 00020549
out_data = 73259c4b; glo_cnt = 00020555
out_data = cb13293c; glo_cnt = 00020569
out_data = 2e8be588; glo_cnt = 00020575
out_data = 81e96230; glo_cnt = 00020581
out_data = 42c71475; glo_cnt = 00020587
out_data = 75ff3b9e; glo_cnt = 000205a1
out_data = 66453c23; glo_cnt = 000205b7
out_data = 2aee7ff8; glo_cnt = 000205d9
out_data = 40a6cb38; glo_cnt = 000205e3
out_data = 2b53e007; glo_cnt = 000205e5
out_data = 57395291; glo_cnt = 000205ef
out_data = 0b179eda; glo_cnt = 000205f1
out_data = 73c374b2; glo_cnt = 000205f2
out_data = d4203243; glo_cnt = 000205f9
out_data = 4b245160; glo_cnt = 00020603
out_data = 3cc4c9fa; glo_cnt = 00020605
out_data = 3c041e1b; glo_cnt = 00020651
out_data = f03184e0; glo_cnt = 00020653
out_data = ce09339c; glo_cnt = 0002067d
out_data = 42d4469f; glo_cnt = 0002067f
out_data = 54d9636b; glo_cnt = 0002069f
out_data = 750984cf; glo_cnt = 000206a1
out_data = 9ebd031a; glo_cnt = 000206a5
out_data = b6d7f031; glo_cnt = 000206a9
out_data = f3088a43; glo_cnt = 000206bc
out_data = 6128e7c4; glo_cnt = 000206bf
out_data = 498e160f; glo_cnt = 000206f7
out_data = e035e876; glo_cnt = 0002070d
out_data = 601624f0; glo_cnt = 00020717
out_data = b2e28bcd; glo_cnt = 00020723
out_data = e5ae15a2; glo_cnt = 0002072d
out_data = b8967230; glo_cnt = 00020739
out_data = 2e871918; glo_cnt = 00020740
out_data = 86e99638; glo_cnt = 00020743
out_data = 742110d8; glo_cnt = 00020744
out_data = 279d64d6; glo_cnt = 0002076f
out_data = b1e0fc04; glo_cnt = 00020785
out_data = abacce44; glo_cnt = 00020791
out_data = cb67097e; glo_cnt = 000207b1
out_data = 31b08d3f; glo_cnt = 000207bd
out_data = 2b3b3ab5; glo_cnt = 000207c7
out_data = fd4663f5; glo_cnt = 000207e8
out_data = e88c4982; glo_cnt = 000207e9
